timestamp,close,open,high,low
2018-12-26,7.0954,6.7114,7.1146,6.5001
2018-12-27,6.9802,6.8938,6.9802,6.673
2018-12-28,7.2107,6.9034,7.3451,6.9034
2018-12-31,7.2683,7.2203,7.3163,7.057
2019-01-02,7.7291,7.1626,7.8539,7.1146
2019-01-03,7.7387,7.7003,7.8731,7.47
2019-01-04,7.902,7.8635,7.9308,7.6619
2019-01-07,8.3916,8.2044,8.4396,7.9596
2019-01-08,8.2188,8.5548,8.6797,8.1756
2019-01-09,8.1612,8.1804,8.4108,7.8539
2019-01-10,8.5837,8.1612,8.5933,8.1468
2019-01-11,8.5837,8.5164,8.5933,8.3724
2019-01-14,8.5452,8.4588,8.6413,8.4108
2019-01-15,8.382,8.5548,8.5741,8.3532
2019-01-16,8.6221,8.3628,8.6413,8.3148
2019-01-17,8.7757,8.5452,8.8205,8.4012
2019-01-18,8.6989,8.8621,8.8813,8.6701
2019-01-22,8.3148,8.6216,8.6317,8.2188
2019-01-23,8.382,8.3436,8.4876,8.2668
2019-01-24,8.43,8.286,8.6125,8.2668
2019-01-25,8.7949,8.4972,8.8429,8.4876
2019-01-28,8.5741,8.6221,8.6413,8.4012
2019-01-29,8.5452,8.5452,8.7661,8.3052
2019-01-30,8.7373,8.6221,8.9101,8.526
2019-01-31,9.755,9.5438,10.3407,9.371
2019-02-01,9.7838,9.7934,10.0143,9.563
2019-02-04,9.803,9.8606,9.9278,9.6974
2019-02-05,10.2063,9.8414,10.2255,9.7646
2019-02-06,10.0527,10.2448,10.4751,10.0143
2019-02-07,9.659,10.0047,10.0239,9.5726
2019-02-08,9.419,9.611,9.6974,9.1597
2019-02-11,9.6302,9.4766,9.7454,9.4382
2019-02-12,9.5822,9.6686,9.7502,9.515
2019-02-13,9.9567,9.5822,10.0047,9.5534
2019-02-14,9.6398,9.8798,9.8894,9.5534
2019-02-15,9.6878,9.7166,9.8702,9.659
2019-02-19,9.7262,9.6302,9.7454,9.5534
2019-02-20,9.6974,9.6878,9.7262,9.611
2019-02-21,9.6302,9.6302,9.7886,9.6014
2019-02-22,9.7646,9.6494,9.7742,9.5918
2019-02-25,10.3887,11.1088,11.2816,10.3503
2019-02-26,10.6487,10.7736,10.8835,10.5189
2019-02-27,10.8685,10.8185,10.9184,10.6287
2019-02-28,10.379,10.8086,10.8385,10.3191
2019-03-01,10.2591,10.4389,10.5089,10.0394
2019-03-04,10.369,10.3091,10.5039,10.2042
2019-03-05,9.8795,10.369,10.5588,9.5699
2019-03-06,9.1004,9.2502,9.6298,9.0404
2019-03-07,9.44,9.0704,9.44,9.0604
2019-03-08,9.58,9.33,9.68,9.28
2019-03-11,9.9,9.45,10.02,9.33
2019-03-12,9.76,9.93,10.14,9.66
2019-03-13,10.02,9.73,10.05,9.7
2019-03-14,10.3,10.3,10.5,10.195
2019-03-15,9.96,10.29,10.445,9.9
2019-03-18,10.2,9.99,10.31,9.97
2019-03-19,10.19,10.22,10.34,10.14
2019-03-20,10.22,10.13,10.33,10.12
2019-03-21,10.27,10.2,10.33,10.13
2019-03-22,9.98,10.22,10.24,9.92
2019-03-25,9.88,9.96,10.13,9.81
2019-03-26,10.1,9.95,10.15,9.93
2019-03-27,9.96,10.08,10.18,9.9
